run,operation,started,time,status,label,batch_size,epochs,lr,sample_file,finger_type,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,tsample,tsr_stop,sc_true,sc_false,theta,tauRho,hidden_size,loss_type,output_size,bin_duration,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path
4a8c9ce2,vtsnn2:tact-snn-2,2020-06-13 15:52:50,0:02:09,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/second_pair epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,1,0,0.36307692527770996,1.0,98.8361587524414,0.5333333611488342,0.46666666865348816,1.0,325,325,150,5,10,1,32,0,3,,,,,,,,,,
a354caa0,vtsnn2:tact-snn-2,2020-06-13 15:52:42,0:02:08,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/second_pair epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,1,1,0.3423076868057251,1.0,159.7184600830078,0.5333333611488342,0.3333333432674408,1.0,325,325,150,5,10,1,32,0,3,,,,,,,,,,
7da897ab,vtsnn2:tact-snn-2,2020-06-13 15:52:18,0:02:06,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/first_pair epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,2,1,4.9869232177734375,1.0,72.52692413330078,0.46666666865348816,0.2666666805744171,1.0,325,325,150,5,10,1,32,0,3,,,,,,,,,,
ba3097e6,vtsnn2:tact-snn-2,2020-06-13 15:51:50,0:02:06,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/first_pair epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,3,0,1.1530770063400269,1.0,85.53845977783203,0.6000000238418579,0.5333333611488342,1.0,325,325,150,5,10,1,32,0,3,,,,,,,,,,
5ac9aac1,vtsnn2:tact-snn-2,2020-06-13 15:50:25,0:01:53,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/first_pair epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,1,1,6.530769348144531,0.9333333373069763,82.42384338378906,0.46666666865348816,0.3333333432674408,0.9333333373069763,325,325,150,5,10,1,32,0,3,,,,,,,,,,
d51dd69c,vtsnn2:tact-snn-2,2020-06-13 15:49:58,0:01:51,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/first_pair epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,2,0,0.756538450717926,1.0,104.43077087402344,0.6000000238418579,0.5333333611488342,1.0,325,325,150,5,10,1,32,0,3,,,,,,,,,,
98e3aa07,vtsnn2:tact-snn-2,2020-06-13 15:48:15,0:01:43,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/first_pair epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,1,0,0.4988461136817932,1.0,127.72999572753906,0.6000000238418579,0.3333333432674408,1.0,325,325,150,5,10,1,32,0,3,,,,,,,,,,
4375ca61,vtsnn2:tac_rpg,2020-06-13 13:20:30,0:00:54,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/second_pair epochs=100 lr=0.0001 sample_file=3,4,100,0.0001,3,,0.09859275817871094,0.9666666388511658,0.28592154383659363,0.5333333611488342,0.46666666865348816,0.9666666388511658,,,,,,,,,,,,,,,,,,,
b404a8b2,vtsnn2:tac_rpg,2020-06-13 13:19:34,0:00:56,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/first_pair epochs=100 lr=0.0001 sample_file=3,4,100,0.0001,3,,0.13561715185642242,0.9333333373069763,0.2780269682407379,0.6000000238418579,0.5333333611488342,0.9333333373069763,,,,,,,,,,,,,,,,,,,
e0486ddb,vtsnn2:tac_rpg,2020-06-13 13:19:32,0:00:57,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/second_pair epochs=100 lr=0.0001 sample_file=2,4,100,0.0001,2,,0.09793038666248322,0.9666666388511658,0.23301316797733307,0.7333333492279053,0.7333333492279053,0.9666666388511658,,,,,,,,,,,,,,,,,,,
