run,operation,started,time,status,label,bin_duration,blacklist_path,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path,batch_size,epochs,lr,sample_file,output_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,tsample,tsr_stop,sc_true,sc_false,theta,tauRho,hidden_size,l1_loss_train,l2_loss_train,l1_loss_test,l2_loss_test,network,path,data_path,checkpoint_dir,data_dir,step,acc/test,acc/train,loss/test,loss/train,prob
13403b2b,vtsnn:tact,2020-04-09 16:46:53,0:19:03,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=128 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.001,1,,1.0623736381530762,1.0,224.488037109375,0.3642857074737549,0.3142857253551483,1.0,325,325,150,5,,,128,0.20146968960762024,3829.1474609375,0.19518929719924927,3672.596923828125,,,,,,,,,,,
1daa1e00,vtsnn:tact,2020-04-09 16:28:05,0:18:47,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.001,1,,12.548484802246094,1.0,245.0371856689453,0.37857142090797424,0.2928571403026581,1.0,325,325,150,5,,,32,0.21540765464305878,4092.12548828125,0.2124345600605011,4020.52685546875,,,,,,,,,,,
856d6324,vtsnn:tact,2020-04-09 16:27:30,0:00:06,terminated,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.001,1,,,,,,,,325,325,150,5,,,32,,,,,,,,,,,,,,,
45d775be,vtsnn:tact,2020-04-09 16:27:30,,staged,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=128 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.001,1,,,,,,,,325,325,150,5,,,128,,,,,,,,,,,,,,,
862c83e4,vtsnn:tact,2020-04-09 03:31:28,0:18:31,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=128 lr=0.0001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.0001,4,,54.28972244262695,0.9964285492897034,196.4628448486328,0.4571428596973419,0.4285714328289032,0.9964285492897034,325,325,150,5,,,128,0.06650488823652267,504.41717529296875,0.06598024070262909,475.1985778808594,,,,,,,,,,,
13ca17dd,vtsnn:tact,2020-04-09 02:58:55,0:32:33,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=128 lr=0.0001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.0001,1,,51.25870895385742,0.9982143044471741,195.07154846191406,0.4714285731315613,0.4214285612106323,0.9982143044471741,325,325,150,5,,,128,0.0635460689663887,475.2472229003906,0.06230969727039337,477.8934020996094,,,,,,,,,,,
d7513832,vtsnn:tact,2020-04-09 02:58:08,0:33:17,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=128 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.001,4,,7.1396260261535645,1.0,190.0902862548828,0.5357142686843872,0.5,1.0,325,325,150,5,,,128,0.08597544580698013,846.014892578125,0.08702272921800613,827.1328735351562,,,,,,,,,,,
08cdd008,vtsnn:tact,2020-04-09 02:26:12,0:32:42,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=64 lr=0.0001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.0001,4,,83.49319458007812,0.9482142925262451,199.0106964111328,0.4285714328289032,0.41428571939468384,0.9482142925262451,325,325,150,5,,,64,0.07835628092288971,656.7185668945312,0.07759682089090347,621.5501098632812,,,,,,,,,,,
1e196976,vtsnn:tact,2020-04-09 02:24:18,0:33:49,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=128 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.001,1,,7.362483501434326,1.0,212.16659545898438,0.44285714626312256,0.3642857074737549,1.0,325,325,150,5,,,128,0.09153489768505096,905.5010986328125,0.08875500410795212,879.5714111328125,,,,,,,,,,,
4cd4d9fe,vtsnn:tact,2020-04-09 01:53:39,0:32:32,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=64 lr=0.0001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.0001,1,,88.31735229492188,0.9696428775787354,202.955322265625,0.44999998807907104,0.4000000059604645,0.9624999761581421,325,325,150,5,,,64,0.08108266443014145,666.0576171875,0.08008547127246857,668.2967529296875,,,,,,,,,,,
