run,operation,started,time,status,label,batch_size,prob,epochs,tsample,tsr_stop,sc_true,sc_false,lr,sample_file,theta,tauRho,loss_type,loss_train,max_acc_train,loss_test,acc_test,acc_train,max_acc_test,hidden_size,path,bin_duration,blacklist_path,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path,checkpoint_dir,data_dir,step,acc/test,acc/train,loss/test,loss/train,output_size,weightFunction,l1_loss/test,l1_loss/train,l2_loss/test,l2_loss/train,tsr_start
9dc75b2b,vtsnn:mm3,2020-04-26 06:17:19,0:29:20,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=700 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325 weightFunction=1,8,,700,325,325,150,5,0.001,2,10,1,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,700,0.75,0.9375,6183.92041015625,4339.8115234375,20,1,0.35302644968032837,0.34873896837234497,6809.62744140625,6773.99755859375,0
35076d5a,vtsnn:tact3,2020-04-26 06:05:14,0:21:29,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325 weightFunction=2,8,,2000,325,325,150,5,0.001,2,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,2000,0.6499999761581421,0.9375,8020.61865234375,7340.0185546875,20,2,0.36459437012672424,0.362189918756485,9149.66015625,9179.505859375,
628d745c,vtsnn:mm3,2020-04-26 05:47:55,0:29:23,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=700 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325 weightFunction=3,8,,700,325,325,150,5,0.001,1,10,1,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,700,0.7166666388511658,0.9833333492279053,6046.76611328125,3857.134033203125,20,3,0.3303881585597992,0.3340737819671631,6116.90234375,6407.12158203125,0
de8e11d3,vtsnn:tact3,2020-04-26 05:38:15,0:26:59,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325 weightFunction=1,8,,2000,325,325,150,5,0.001,2,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,2000,0.6666666865348816,0.9166666865348816,7332.3857421875,6270.60498046875,20,1,0.3645447790622711,0.3673397898674011,8894.564453125,9139.3193359375,
6ee8e214,vtsnn:mm3,2020-04-26 05:20:48,0:27:06,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=700 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325 weightFunction=2,8,,700,325,325,150,5,0.001,1,10,1,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,690,0.699999988079071,0.9666666388511658,6630.02783203125,4466.52197265625,20,2,0.33400672674179077,0.339607834815979,6086.599609375,6417.0908203125,0
107a5fcc,vtsnn:tact3,2020-04-26 05:15:28,0:22:47,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325 weightFunction=3,8,,2000,325,325,150,5,0.001,1,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,2000,0.6666666865348816,0.9291666746139526,6928.8876953125,5761.63623046875,20,3,0.34742337465286255,0.34996435046195984,8139.50439453125,8395.2529296875,
d5059fbb,vtsnn:mm3,2020-04-26 04:56:42,0:24:05,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=700 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325 weightFunction=1,8,,700,325,325,150,5,0.001,1,10,1,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,700,0.6666666865348816,0.9708333611488342,6005.72412109375,3861.560546875,20,1,0.3464033901691437,0.3498508036136627,6563.015625,6823.63525390625,0
6da8082c,vtsnn:tact3,2020-04-26 04:56:41,0:18:46,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325 weightFunction=2,8,,2000,325,325,150,5,0.001,1,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,1990,0.6166666746139526,0.9125000238418579,7968.96044921875,7628.9189453125,20,2,0.3548046946525574,0.3574138879776001,8572.44921875,8816.376953125,
6b8c2ad8,vtsnn:tact3,2020-04-26 04:42:08,0:14:32,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325 weightFunction=1,8,,2000,325,325,150,5,0.001,1,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,2000,0.6333333253860474,0.9125000238418579,7235.29931640625,6485.21533203125,20,1,0.36515477299690247,0.36892953515052795,8733.11328125,8998.0869140625,
6c822d82,vtsnn:mm,2020-04-26 01:26:01,0:14:50,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=325 tsample=325 tsr_start=0 tsr_stop=325,8,,500,325,325,325,5,0.001,4,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.8166666626930237,1.0,379.9832763671875,12.148152351379395,20,,0.3617296516895294,0.3639635741710663,7036.03515625,7395.24365234375,0
