run,operation,started,time,status,label,batch_size,lr,sample_file,epochs,hidden_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,output_size,tsample,tsr_stop,sc_true,sc_false,l1_loss_train,l2_loss_train,l1_loss_test,l2_loss_test,network,path,bin_duration,data_path,save_dir,threshold,prob
9d7b3775,vt_optimize:vis,2020-04-02 22:00:58,0:36:13,completed,batch_size=8 cuda=2 lr=0.005 sample_file=2,8,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
48c7ecbf,vt_optimize:vis,2020-04-02 21:22:24,0:38:33,completed,batch_size=8 cuda=2 lr=0.001 sample_file=2,8,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
b1ed09fb,vt_optimize:tact,2020-04-02 21:12:57,1:35:08,completed,batch_size=1 cuda=1 lr=0.01 sample_file=2,1,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
cdfbec54,vt_optimize:vis,2020-04-02 20:15:10,1:07:14,completed,batch_size=1 cuda=2 lr=0.05 sample_file=2,1,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
18d9843d,vt_optimize:tact,2020-04-02 19:32:32,1:40:25,completed,batch_size=1 cuda=1 lr=0.005 sample_file=2,1,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
352b1907,vt_optimize:vis,2020-04-02 19:29:27,0:45:42,completed,batch_size=1 cuda=2 lr=0.01 sample_file=2,1,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
ded25342,vt_optimize:vis,2020-04-02 18:42:29,0:46:57,completed,batch_size=1 cuda=2 lr=0.005 sample_file=2,1,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
760bef92,vt_optimize:vis,2020-04-02 17:41:37,1:00:51,completed,batch_size=1 cuda=2 lr=0.001 sample_file=2,1,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
9aab4a0d,vt_optimize:tact,2020-04-02 17:40:37,1:51:55,completed,batch_size=1 cuda=1 lr=0.001 sample_file=2,1,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
450686f6,vt_optimize:vis,2020-04-02 09:50:39,0:30:29,completed,batch_size=256 cuda=2 lr=0.05 sample_file=2,256,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
e34cb664,vt_optimize:tact,2020-04-02 09:29:01,0:17:18,completed,batch_size=256 cuda=1 lr=0.5 sample_file=2,256,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,
25d6511b,vt_optimize:vis,2020-04-02 09:18:39,0:32:00,completed,batch_size=256 cuda=2 lr=0.01 sample_file=2,256,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
1a9a55c6,vt_optimize:tact,2020-04-02 09:11:54,0:17:07,completed,batch_size=256 cuda=1 lr=0.1 sample_file=2,256,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,
2da6ce32,vt_optimize:tact,2020-04-02 08:54:41,0:17:13,completed,batch_size=256 cuda=1 lr=0.0005 sample_file=2,256,0.0005,2,,,,,,,,,,,,,,,,,,,,,,,,
5b850d7c,vt_optimize:vis,2020-04-02 08:47:02,0:31:36,completed,batch_size=256 cuda=2 lr=0.005 sample_file=2,256,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
02c4a470,vt_optimize:tact,2020-04-02 08:37:08,0:17:32,completed,batch_size=256 cuda=1 lr=0.0001 sample_file=2,256,0.0001,2,,,,,,,,,,,,,,,,,,,,,,,,
aa072495,vt_optimize:tact,2020-04-02 08:20:08,0:16:59,completed,batch_size=128 cuda=1 lr=0.5 sample_file=2,128,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,
ab221d44,vt_optimize:vis,2020-04-02 08:15:25,0:31:37,completed,batch_size=256 cuda=2 lr=0.001 sample_file=2,256,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
cfe900e9,vt_optimize:tact,2020-04-02 08:02:41,0:17:27,completed,batch_size=128 cuda=1 lr=0.1 sample_file=2,128,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,
af9e260d,vt_optimize:vis,2020-04-02 07:47:53,0:27:32,completed,batch_size=128 cuda=2 lr=0.05 sample_file=2,128,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
b7d888bb,vt_optimize:tact,2020-04-02 07:45:32,0:17:08,completed,batch_size=128 cuda=1 lr=0.0005 sample_file=2,128,0.0005,2,,,,,,,,,,,,,,,,,,,,,,,,
843e757a,vt_optimize:tact,2020-04-02 07:28:19,0:17:12,completed,batch_size=128 cuda=1 lr=0.0001 sample_file=2,128,0.0001,2,,,,,,,,,,,,,,,,,,,,,,,,
e6a8cc05,vt_optimize:vis,2020-04-02 07:20:26,0:27:26,completed,batch_size=128 cuda=2 lr=0.01 sample_file=2,128,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
5263e5d4,vt_optimize:tact,2020-04-02 07:11:09,0:17:10,completed,batch_size=64 cuda=1 lr=0.5 sample_file=2,64,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,
ae7d9fb2,vt_optimize:tact,2020-04-02 06:53:54,0:17:14,completed,batch_size=64 cuda=1 lr=0.1 sample_file=2,64,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,
4056a70f,vt_optimize:vis,2020-04-02 06:52:53,0:27:33,completed,batch_size=128 cuda=2 lr=0.005 sample_file=2,128,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
1bff564f,vt_optimize:tact,2020-04-02 06:36:40,0:17:14,completed,batch_size=64 cuda=1 lr=0.0005 sample_file=2,64,0.0005,2,,,,,,,,,,,,,,,,,,,,,,,,
45af2533,vt_optimize:vis,2020-04-02 06:25:40,0:27:13,completed,batch_size=128 cuda=2 lr=0.001 sample_file=2,128,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
7ea30cbc,vt_optimize:tact,2020-04-02 06:19:23,0:17:16,completed,batch_size=64 cuda=1 lr=0.0001 sample_file=2,64,0.0001,2,,,,,,,,,,,,,,,,,,,,,,,,
9e98cfb0,vt_optimize:vis,2020-04-02 06:00:21,0:25:18,completed,batch_size=64 cuda=2 lr=0.05 sample_file=2,64,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
a431b42d,vt_optimize:tact,2020-04-02 05:59:16,0:20:07,completed,batch_size=8 cuda=1 lr=0.5 sample_file=2,8,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,
1a7eb75c,vt_optimize:tact,2020-04-02 05:39:15,0:20:00,completed,batch_size=8 cuda=1 lr=0.1 sample_file=2,8,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,
e23b1d9f,vt_optimize:vis,2020-04-02 05:34:55,0:25:26,completed,batch_size=64 cuda=2 lr=0.01 sample_file=2,64,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
fd54d974,vt_optimize:tact,2020-04-02 05:19:24,0:19:50,completed,batch_size=8 cuda=1 lr=0.0005 sample_file=2,8,0.0005,2,,,,,,,,,,,,,,,,,,,,,,,,
411f032f,vt_optimize:vis,2020-04-02 05:09:42,0:25:12,completed,batch_size=64 cuda=2 lr=0.005 sample_file=2,64,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
1610fe0d,vt_optimize:tact,2020-04-02 04:59:24,0:20:00,completed,batch_size=8 cuda=1 lr=0.0001 sample_file=2,8,0.0001,2,,,,,,,,,,,,,,,,,,,,,,,,
6fd011ec,vt_optimize:vis,2020-04-02 04:43:45,0:25:56,completed,batch_size=64 cuda=2 lr=0.001 sample_file=2,64,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
c25d66f3,vt_optimize:vis,2020-04-02 04:14:57,0:28:47,completed,batch_size=8 cuda=2 lr=0.05 sample_file=2,8,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
