run,operation,started,time,status,label,batch_size,epochs,lr,sample_file,hidden_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,tsample,tsr_stop,sc_true,sc_false,l1_loss_train,l2_loss_train,l1_loss_test,l2_loss_test,network,path,bin_duration,data_path,save_dir,threshold,prob
861c0b92,vtsnn:tact_ann,2020-03-09 19:48:36,0:08:52,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=600 hidden_size=32 lr=0.0001 sample_file=1,8,600,0.0001,1,32,0.002922189189121127,1.0,0.2947836220264435,0.5333333611488342,0.4166666567325592,1.0,,,,,,,,,,,,,,,
db018837,vtsnn:tact_ann,2020-03-09 19:48:11,0:08:45,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=600 hidden_size=32 lr=0.0001 sample_file=1,8,600,0.0001,1,32,0.0027904072776436806,1.0,0.2812318205833435,0.6000000238418579,0.4166666567325592,1.0,,,,,,,,,,,,,,,
41099bcf,vtsnn:mm,2020-03-06 20:43:57,0:31:40,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=5 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,5,,0.7051795125007629,1.0,96.36672973632812,0.7833333611488342,0.7833333611488342,1.0,325,325,150,5,0.33654913306236267,6132.90380859375,0.33669012784957886,6114.9814453125,,,,,,,
88cad422,vtsnn:mm,2020-03-06 20:42:45,0:32:18,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=5 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,5,,0.5774872303009033,1.0,93.51691436767578,0.800000011920929,0.7333333492279053,1.0,325,325,150,5,0.3132399320602417,5334.7646484375,0.3172261714935303,5363.04833984375,,,,,,,
18654301,vtsnn:mm,2020-03-06 20:41:55,0:32:12,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=5 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,5,,0.45502567291259766,1.0,89.31230163574219,0.8333333134651184,0.8333333134651184,1.0,325,325,150,5,0.3526499569416046,6913.9755859375,0.35141050815582275,6827.60009765625,,,,,,,
97cbfa5c,vtsnn:mm,2020-03-06 20:40:29,0:32:49,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=5 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,5,,0.46487191319465637,1.0,104.56999969482422,0.75,0.75,1.0,325,325,150,5,0.33372262120246887,6057.9326171875,0.33255311846733093,6004.49462890625,,,,,,,
3bfe748d,vtsnn:viz,2020-03-06 20:14:08,0:31:29,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.01 output_size=20 sample_file=5 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,5,,32.60641098022461,1.0,157.611328125,0.7666666507720947,0.5333333611488342,0.9833333492279053,325,325,150,5,0.1179194301366806,1560.411376953125,0.11649861931800842,1519.9837646484375,,,,,,,
4b766c63,vtsnn:mm,2020-03-06 20:02:40,0:41:17,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,4,,0.8806154727935791,1.0,72.75961303710938,0.8666666746139526,0.8500000238418579,1.0,325,325,150,5,0.33243322372436523,5833.38623046875,0.33398765325546265,5757.26123046875,,,,,,,
f11b6a53,vtsnn:mm,2020-03-06 20:01:28,0:40:27,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,4,,1.1693333387374878,1.0,93.7034683227539,0.800000011920929,0.7833333611488342,1.0,325,325,150,5,0.3256947100162506,5920.712890625,0.32671284675598145,5867.6640625,,,,,,,
59ce984c,vtsnn:mm,2020-03-06 20:01:07,0:41:38,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,4,,0.4282051920890808,1.0,61.46692657470703,0.9166666865348816,0.8666666746139526,1.0,325,325,150,5,0.30936184525489807,5075.53857421875,0.3127392530441284,5071.01611328125,,,,,,,
